4.023768997285515070e-04,8.946361541748046875e-01,2.667065709829330444e-02,4.023946530651301146e-04,4.023874644190073013e-04,4.024132504127919674e-04,4.023982037324458361e-04,7.587644457817077637e-02,4.023938672617077827e-04,4.024122317787259817e-04
6.590029806829988956e-04,6.590140983462333679e-04,6.590239936485886574e-04,6.589995464310050011e-04,6.590253906324505806e-04,2.257113307714462280e-01,6.590067059732973576e-04,6.590241682715713978e-04,6.590335979126393795e-04,7.690165638923645020e-01
1.757101621478796005e-03,1.757057965733110905e-03,1.757182297296822071e-03,1.757170888595283031e-03,1.757233520038425922e-03,9.841857552528381348e-01,1.757109654136002064e-03,1.757146674208343029e-03,1.757158082909882069e-03,1.757103367708623409e-03
1.011139131151139736e-03,1.011167420074343681e-03,9.908995032310485840e-01,1.011227839626371861e-03,1.011177198961377144e-03,1.011205487884581089e-03,1.011158921755850315e-03,1.011182088404893875e-03,1.011168118566274643e-03,1.011130283586680889e-03
1.267568441107869148e-03,1.267588464543223381e-03,1.267606043256819248e-03,1.267567975446581841e-03,1.267664250917732716e-03,1.267593353986740112e-03,1.267537707462906837e-03,1.267580548301339149e-03,1.267560990527272224e-03,9.885916709899902344e-01
1.223774161189794540e-03,1.223793369717895985e-03,1.223917002789676189e-03,5.288379192352294922e-01,1.223793835379183292e-03,4.613717794418334961e-01,1.223753904923796654e-03,1.223790110088884830e-03,1.223790575750172138e-03,1.223745173774659634e-03
1.853916328400373459e-03,1.853932393714785576e-03,1.853956840932369232e-03,1.853968948125839233e-03,1.853979076258838177e-03,1.854085829108953476e-03,1.853935886174440384e-03,2.308587729930877686e-01,1.853985828347504139e-03,7.543094754219055176e-01
1.472046831622719765e-03,1.472053583711385727e-03,9.867513179779052734e-01,1.472061616368591785e-03,1.472080126404762268e-03,1.472139498218894005e-03,1.472047297284007072e-03,1.472082221880555153e-03,1.472110277973115444e-03,1.472055795602500439e-03
4.101847589481621981e-04,4.101968661416321993e-04,9.963082075119018555e-01,4.102175589650869370e-04,4.101971280761063099e-04,4.102096427232027054e-04,4.101910453755408525e-04,4.102012026123702526e-04,4.102087696082890034e-04,4.102078091818839312e-04
1.000879914499819279e-03,1.000923453830182552e-03,6.235659122467041016e-01,1.000893884338438511e-03,1.000888762064278126e-03,1.000921591185033321e-03,1.000886666588485241e-03,1.000912510789930820e-03,3.684267997741699219e-01,1.000965246930718422e-03
1.043171389028429985e-03,1.043235650286078453e-03,1.043240539729595184e-03,1.043174765072762966e-03,7.473110556602478027e-01,1.043211203068494797e-03,1.043154625222086906e-03,2.443434000015258789e-01,1.043249620124697685e-03,1.043138676322996616e-03
5.762126529589295387e-04,5.762350629083812237e-04,1.547530740499496460e-01,5.761896027252078056e-04,5.762046785093843937e-04,5.762164364568889141e-04,5.762067739851772785e-04,8.406372666358947754e-01,5.762112559750676155e-04,5.762393120676279068e-04
1.163916313089430332e-03,1.163939479738473892e-03,1.163996872492134571e-03,1.163923880085349083e-03,1.163928885944187641e-03,1.163996174000203609e-03,9.895244240760803223e-01,1.163959386758506298e-03,1.163960550911724567e-03,1.163937384262681007e-03
4.119149525649845600e-04,4.119224031455814838e-04,4.119385848753154278e-04,4.119492077734321356e-04,9.962926506996154785e-01,4.119427467230707407e-04,4.119200457353144884e-04,4.119372752029448748e-04,4.119282821193337440e-04,4.119269724469631910e-04
9.537602891214191914e-04,9.537683799862861633e-04,9.538223966956138611e-04,9.538439335301518440e-04,9.538078447803854942e-04,9.538502781651914120e-04,9.537891601212322712e-04,4.011284708976745605e-01,5.912410616874694824e-01,9.537716978229582310e-04
